TOT,NaCl,pH,pKa
0.35,35.064,6.1,6.871284751
0.35,40.908,6.1,6.825477323
0.35,46.752,6.1,6.771881477
0.35,52.596,6.1,6.710169016
0.35,58.44,6.1,6.718312966
0.375,5.844,6.1,7.097150882
0.375,11.688,6.1,7.109675664
0.375,17.532,6.1,7.109143051
0.375,23.376,6.1,6.940148664
0.375,29.22,6.1,6.90847167
0.375,35.064,6.1,6.869754039
0.375,40.908,6.1,6.823498007
0.375,46.752,6.1,6.769334147
0.375,52.596,6.1,6.706893196
0.375,58.44,6.1,6.720297541
0.4,5.844,6.1,7.097505354
0.4,11.688,6.1,7.109830968
0.4,17.532,6.1,7.108944503
0.4,23.376,6.1,6.939247557
0.4,29.22,6.1,6.907284644
0.4,35.064,6.1,6.868204036
0.4,40.908,6.1,6.821490812
0.4,46.752,6.1,6.766745728
0.4,52.596,6.1,6.70355561
0.4,58.44,6.1,6.722284244
0.425,5.844,6.1,7.097859713
0.425,11.688,6.1,7.109979231
0.425,17.532,6.1,7.108737254
0.425,23.376,6.1,6.93833685
0.425,29.22,6.1,6.906083819
0.425,35.064,6.1,6.866634324
0.425,40.908,6.1,6.819455019
0.425,46.752,6.1,6.764114941
0.425,52.596,6.1,6.700153938
0.425,58.44,6.1,6.724272691
0.45,5.844,6.1,7.098213572
0.45,11.688,6.1,7.110120411
0.45,17.532,6.1,7.108521252
0.45,23.376,6.1,6.937416377
0.45,29.22,6.1,6.904868935
0.45,35.064,6.1,6.865044471
0.45,40.908,6.1,6.817389877
0.45,46.752,6.1,6.761440446
0.45,52.596,6.1,6.696685724
0.45,58.44,6.1,6.726262513
0.475,5.844,6.1,7.098566569
0.475,11.688,6.1,7.110254465
0.475,17.532,6.1,7.108296447
0.475,23.376,6.1,6.936485966
0.475,29.22,6.1,6.903639728
0.475,35.064,6.1,6.863434029
0.475,40.908,6.1,6.815294604
0.475,46.752,6.1,6.758720836
0.475,52.596,6.1,6.693148361
0.475,58.44,6.1,6.728253352
0.5,5.844,6.1,7.098918362
0.5,11.688,6.1,7.110381352
0.5,17.532,6.1,7.108062783
0.5,23.376,6.1,6.935545441
0.5,29.22,6.1,6.902395923
0.5,35.064,6.1,6.861802537
0.5,40.908,6.1,6.813168386
0.5,46.752,6.1,6.755954628
0.5,52.596,6.1,6.691716881
0.5,58.44,6.1,6.730244864
0.025,5.844,6.2,7.092532026
0.025,11.688,6.2,7.106847657
0.025,17.532,6.2,7.111015945
0.025,23.376,6.2,6.951671462
0.025,29.22,6.2,6.923549764
0.025,35.064,6.2,6.889314882
0.025,40.908,6.2,6.848602068
0.025,46.752,6.2,6.801311254
0.025,52.596,6.2,6.747463304
0.025,58.44,6.2,6.693281455
0.05,5.844,6.2,7.092901948
0.05,11.688,6.2,7.107150694
0.05,17.532,6.2,7.110912512
0.05,23.376,6.2,6.950713721
0.05,29.22,6.2,6.922306689
0.05,35.064,6.2,6.887714925
0.05,40.908,6.2,6.846570024
0.05,46.752,6.2,6.79875859
0.05,52.596,6.2,6.744282106
0.05,58.44,6.2,6.695576559
0.075,5.844,6.2,7.093284719
0.075,11.688,6.2,7.107444229
0.075,17.532,6.2,7.11079673
0.075,23.376,6.2,6.949744781
0.075,29.22,6.2,6.92104767
0.075,35.064,6.2,6.886093139
0.075,40.908,6.2,6.844508094
0.075,46.752,6.2,6.796164691
0.075,52.596,6.2,6.741043602
0.075,58.44,6.2,6.697884337
0.1,5.844,6.2,7.093678625
0.1,11.688,6.2,7.107728127
0.1,17.532,6.2,7.11066854
0.1,23.376,6.2,6.948764409
0.1,29.22,6.2,6.919772391
0.1,35.064,6.2,6.884449044
0.1,40.908,6.2,6.842415518
0.1,46.752,6.2,6.793528339
0.1,52.596,6.2,6.737745835
0.1,58.44,6.2,6.700203841
0.125,5.844,6.2,7.094082088
0.125,11.688,6.2,7.108002258
0.125,17.532,6.2,7.110527879
0.125,23.376,6.2,6.947772366
0.125,29.22,6.2,6.918480528
0.125,35.064,6.2,6.882782142
0.125,40.908,6.2,6.840291507
0.125,46.752,6.2,6.790848262
0.125,52.596,6.2,6.734386742
0.125,58.44,6.2,6.702534148
0.15,5.844,6.2,7.094493654
0.15,11.688,6.2,7.108266505
0.15,17.532,6.2,7.110374682
0.15,23.376,6.2,6.946768411
0.15,29.22,6.2,6.917171746
0.15,35.064,6.2,6.881091918
0.15,40.908,6.2,6.838135237
0.15,46.752,6.2,6.788123124
0.15,52.596,6.2,6.730964147
0.15,58.44,6.2,6.704874366
0.175,5.844,6.2,7.094911982
0.175,11.688,6.2,7.108520751
0.175,17.532,6.2,7.11020888
0.175,23.376,6.2,6.945752298
0.175,29.22,6.2,6.915845701
0.175,35.064,6.2,6.879377838
0.175,40.908,6.2,6.835945849
0.175,46.752,6.2,6.785351526
0.175,52.596,6.2,6.727475753
0.175,58.44,6.2,6.707223629
0.2,5.844,6.2,7.095335838
0.2,11.688,6.2,7.10876489
0.2,17.532,6.2,7.110030402
0.2,23.376,6.2,6.944723776
0.2,29.22,6.2,6.914502039
0.2,35.064,6.2,6.877639349
0.2,40.908,6.2,6.83372245
0.2,46.752,6.2,6.782532001
0.2,52.596,6.2,6.723919133
0.2,58.44,6.2,6.709581097
0.225,5.844,6.2,7.09576408
0.225,11.688,6.2,7.108998819
0.225,17.532,6.2,7.109839177
0.225,23.376,6.2,6.943682588
0.225,29.22,6.2,6.913140395
0.225,35.064,6.2,6.875875876
0.225,40.908,6.2,6.831464107
0.225,46.752,6.2,6.779663007
0.225,52.596,6.2,6.720291719
0.225,58.44,6.2,6.711945962
0.25,5.844,6.2,7.096195655
0.25,11.688,6.2,7.10922244
0.25,17.532,6.2,7.109635127
0.25,23.376,6.2,6.942628473
0.25,29.22,6.2,6.911760391
0.25,35.064,6.2,6.874086825
0.25,40.908,6.2,6.829169846
0.25,46.752,6.2,6.776742923
0.25,52.596,6.2,6.71659079
0.25,58.44,6.2,6.714317438
0.275,5.844,6.2,7.096629589
0.275,11.688,6.2,7.109435659
0.275,17.532,6.2,7.109418172
0.275,23.376,6.2,6.941561165
0.275,29.22,6.2,6.910361641
0.275,35.064,6.2,6.872271578
0.275,40.908,6.2,6.826838648
